,latitude,longitude,price,beds,bath,square,year,Residential,Condominium
0,50.476002750000006,-104.646174,299900,3.0,1.0,948,1961.0,1.0,0.0
1,50.4235825,-104.5120397,359900,3.0,3.0,1160,2019.0,1.0,0.0
2,50.4636215,-104.65217025007196,189900,2.0,1.0,748,1953.0,1.0,0.0
3,50.4038647,-104.60986132617332,439900,3.0,3.0,1174,1959.0,1.0,0.0
4,50.44687345,-104.60826162515852,289900,2.0,2.0,1098,2009.0,0.0,1.0
5,50.46021485,-104.64158852885362,199910,4.0,1.0,970,1949.0,1.0,0.0
6,50.4538911,-104.62137773242372,24900,2.0,1.0,855,1928.0,1.0,0.0
7,50.4293207,-104.5251775,415900,3.0,3.0,1484,2022.0,1.0,0.0
8,50.45936085,-104.62796665071944,38000,2.0,1.0,714,1926.0,1.0,0.0
9,50.44916565,-104.59202693571594,159900,1.0,1.0,725,1920.0,1.0,0.0
10,50.4729673,-104.65548084973928,229900,2.0,2.0,814,1971.0,1.0,0.0
11,50.397944550000005,-104.65517767407609,449900,3.0,3.0,1386,2017.0,1.0,0.0
12,50.4008701,-104.6510829,257000,2.0,3.0,1065,2017.0,0.0,1.0
13,50.44060425,-104.6271032820652,719500,4.0,4.0,1772,2000.0,1.0,0.0
14,50.48377475,-104.63224215,309900,3.0,2.0,1056,1964.0,1.0,0.0
15,50.4794404,-104.69673497447712,524900,2.0,2.0,2032,2001.0,0.0,1.0
16,50.44510135,-104.6337209825324,214900,3.0,2.0,932,1926.0,1.0,0.0
17,50.4601136,-104.63150929024896,94900,3.0,2.0,990,1929.0,1.0,0.0
18,50.4410614,-104.58342385,114900,3.0,1.0,750,1946.0,1.0,0.0
19,50.4858166,-104.6737034,215000,4.0,2.0,980,1977.0,1.0,0.0
20,50.41926775,-104.52337618434228,429999,3.0,3.0,1607,2012.0,1.0,0.0
21,50.45767605,-104.65795992951374,189900,2.0,1.0,672,1953.0,1.0,0.0
22,50.4794404,-104.69673497447712,524900,2.0,2.0,2032,2001.0,0.0,1.0
23,50.414254,-104.64612217613296,599900,3.0,4.0,1580,2013.0,1.0,0.0
24,50.5000737,-104.64476728235972,409900,3.0,3.0,1435,2007.0,1.0,0.0
25,50.4545126,-104.56966373109692,224900,3.0,1.0,1122,1929.0,1.0,0.0
26,50.4715982,-104.62632705117323,308800,4.0,1.0,949,1963.0,1.0,0.0
27,50.47474685,-104.6125778025492,144500,3.0,1.0,836,1957.0,1.0,0.0
28,50.4563667,-104.5501085765808,279900,3.0,3.0,1040,1974.0,1.0,0.0
29,50.45217145,-104.5307018641463,179900,2.0,1.0,861,2012.0,0.0,1.0
30,50.46474485,-104.65215232944551,287900,4.0,2.0,864,1956.0,1.0,0.0
31,50.48236345,-104.60185150996408,179900,3.0,1.0,975,1959.0,1.0,0.0
32,50.41275535,-104.6525464539634,614900,4.0,4.0,1619,2013.0,1.0,0.0
33,50.4615214,-104.6387244,77900,1.0,1.0,528,1946.0,1.0,0.0
34,50.4288579,-104.6196112,169900,1.0,1.0,710,2013.0,0.0,1.0
35,50.4359414,-104.63224402953968,447000,2.0,2.0,1158,1954.0,1.0,0.0
36,50.4063731,-104.62378230663252,399999,5.0,3.0,1694,1966.0,1.0,0.0
37,50.4070657,-104.62038134950797,165000,2.0,1.0,1100,1968.0,0.0,1.0
38,50.4302655,-104.5167589,411900,3.0,3.0,1465,2022.0,1.0,0.0
39,50.4008701,-104.6510829,264900,2.0,3.0,1065,2017.0,0.0,1.0
40,50.4023797,-104.649176,179999,2.0,1.0,753,2011.0,0.0,1.0
41,50.476002750000006,-104.646174,299900,3.0,1.0,948,1961.0,1.0,0.0
42,50.4484198,-104.62362150695188,237500,4.0,3.0,1350,1913.0,1.0,0.0
43,50.40651925,-104.607933255444,679900,3.0,3.0,2018,2022.0,1.0,0.0
44,50.4627194,-104.64977145074778,275000,2.0,1.0,2620,1955.0,1.0,0.0
45,50.45609515,-104.5505531,185000,4.0,2.0,1000,1973.0,1.0,0.0
46,50.44681495,-104.61420179718525,374900,2.0,2.0,1693,1929.0,0.0,1.0
47,50.4008701,-104.6510829,269900,2.0,4.0,1065,2017.0,0.0,1.0
48,50.40770515,-104.60654337488674,319900,3.0,1.0,1092,1958.0,1.0,0.0
49,50.4003464,-104.61115194183142,335000,4.0,2.0,1261,1961.0,1.0,0.0
50,50.4959056,-104.6243882,468900,3.0,3.0,1400,2021.0,1.0,0.0
51,50.45607375,-104.6236450505277,59900,2.0,1.0,672,1924.0,1.0,0.0
52,50.4299959,-104.6253629,1350000,3.0,3.0,2705,2021.0,1.0,0.0
53,50.4540012,-104.5278841,199900,3.0,2.0,1103,2013.0,0.0,1.0
54,50.4537687,-104.5472798700269,259900,3.0,2.0,923,1974.0,1.0,0.0
55,50.433219,-104.63369928772823,389900,2.0,3.0,1382,1966.0,1.0,0.0
56,50.44235065,-104.54305895142464,339900,2.0,2.0,1144,2010.0,0.0,1.0
57,50.4546795,-104.6959035586366,499900,4.0,4.0,1534,2017.0,1.0,0.0
58,50.4339577,-104.62361363885572,239900,2.0,1.0,893,1928.0,1.0,0.0
59,50.4637429,-104.62713205728008,29900,4.0,3.0,1368,1915.0,1.0,0.0
60,50.47147925,-104.64849604639672,63900,3.0,1.0,748,1910.0,1.0,0.0
61,50.4492313,-104.60033044394764,209900,3.0,1.0,850,1907.0,1.0,0.0
62,50.47147185,-104.6720043128026,292900,3.0,2.0,1049,1974.0,1.0,0.0
63,50.430950550000006,-104.62995545,544900,4.0,4.0,1854,2015.0,1.0,0.0
64,50.4494919,-104.59740470026794,125000,2.0,2.0,840,1958.0,1.0,0.0
65,50.4656199,-104.6553692,219900,3.0,3.0,1235,2013.0,0.0,1.0
66,50.46112615,-104.62714155,39900,2.0,1.0,892,1930.0,1.0,0.0
67,50.47195125,-104.63803949116416,174900,3.0,2.0,1200,1942.0,1.0,0.0
68,50.4521128,-104.52941334684012,268900,2.0,2.0,1141,2012.0,0.0,1.0
69,50.4337466,-104.58456948819128,1499900,4.0,4.0,2228,2021.0,1.0,0.0
70,50.44259225,-104.5586821,469900,5.0,4.0,1718,1982.0,1.0,0.0
71,50.4224016,-104.52670460889914,534900,3.0,3.0,1890,1992.0,1.0,0.0
72,50.4562551,-104.6250855852025,55000,2.0,1.0,630,1919.0,1.0,0.0
73,50.4461212,-104.59340807438356,119900,2.0,1.0,600,1927.0,1.0,0.0
74,50.401984,-104.6446087,469900,2.0,2.0,1425,2014.0,0.0,1.0
75,50.4469301,-104.623230598971,579900,6.0,4.0,3087,1911.0,1.0,0.0
76,50.47482705,-104.6908570487288,469900,4.0,3.0,1310,2010.0,1.0,0.0
77,50.46100605,-104.64153892553878,108000,3.0,2.0,1139,1949.0,1.0,0.0
78,50.460635100000005,-104.62280755648234,36000,2.0,1.0,631,1921.0,1.0,0.0
79,50.4934076,-104.65655075,364900,3.0,2.0,924,1975.0,1.0,0.0
80,50.41369615,-104.65918780271863,399900,3.0,3.0,1301,2013.0,1.0,0.0
